"Player","year","rz_ATT","rz_YDS_rush","rz_Y/A","rz_TD_rush","rz_PCT","rz_REC","rz_TGT","rz_REC PCT","rz_YDS_rec","rz_Y/R","rz_TD_rec","rz_TGT PCT","rz_FL","rz_G","rz_FPTS","rz_FPTS/G","rz_ROST %","rz_TD_total","rz_YDS_total"
Todd Gurley,2018,64,204,3.2,17,"87.7%",9,19,"47.4%",78,8.7,3,"95.0%",0,14,157.2,11.2,"0.1%",20,282
Alvin Kamara,2018,51,174,3.4,13,"63.0%",21,26,"80.8%",128,6.1,3,"78.8%",0,15,147.2,9.8,"97.1%",16,302
Christian McCaffrey,2018,46,134,2.9,7,"82.1%",14,16,"87.5%",90,6.4,5,"94.1%",1,16,106.4,6.7,"100.0%",12,224
Melvin GordonI,2018,23,128,5.6,8,"48.9%",8,13,"61.5%",33,4.1,3,"65.0%",0,12,90.1,7.5,"0.0%",11,161
James Conner,2018,34,90,2.6,10,"75.6%",6,7,"85.7%",36,6.0,1,"53.8%",0,13,84.6,6.5,"91.2%",11,126
Saquon Barkley,2018,44,82,1.9,6,"83.0%",11,15,"73.3%",69,6.3,3,"78.9%",0,16,80.1,5.0,"100.0%",9,151
James White,2018,21,30,1.4,3,"26.3%",14,20,"70.0%",88,6.3,6,"66.7%",0,16,79.8,5.0,"0.1%",9,118
Derrick Henry,2018,43,168,3.9,10,"65.2%",2,2,"100.0%",2,1.0,0,"20.0%",0,16,79.0,4.9,"99.9%",10,170
Kareem Hunt,2018,27,69,2.6,7,"56.3%",6,9,"66.7%",54,9.0,3,"40.9%",0,11,78.3,7.1,"0.7%",10,123
Ezekiel Elliott,2018,39,105,2.7,5,"90.7%",12,17,"70.6%",70,5.8,2,"85.0%",0,15,71.5,4.8,"80.7%",7,175
Joe Mixon,2018,32,82,2.6,8,"78.0%",5,8,"62.5%",36,7.2,1,"88.9%",0,14,70.8,5.1,"98.8%",9,118
David Johnson,2018,27,76,2.8,7,"77.1%",6,10,"60.0%",32,5.3,1,"83.3%",0,16,64.8,4.1,"0.0%",8,108
Chris Carson,2018,40,101,2.5,8,"57.1%",3,3,"100.0%",15,5.0,0,"50.0%",0,14,62.6,4.5,"0.3%",8,116
Marlon Mack,2018,32,96,3.0,8,"53.3%",2,2,"100.0%",11,5.5,0,"12.5%",0,12,60.7,5.1,"0.0%",8,107
Alex Collins,2018,21,94,4.5,7,"40.4%",3,5,"60.0%",17,5.7,1,"45.5%",1,10,60.1,6.0,"19.0%",8,111
Tarik Cohen,2018,11,51,4.6,1,"26.2%",11,14,"78.6%",76,6.9,4,"66.7%",0,16,57.7,3.6,"0.0%",5,127
Nick Chubb,2018,26,57,2.2,5,"50.0%",4,4,"100.0%",39,9.8,2,"30.8%",0,16,55.6,3.5,"82.9%",7,96
Jordan Howard,2018,30,95,3.2,7,"71.4%",3,5,"60.0%",6,2.0,0,"23.8%",1,16,53.1,3.3,"0.0%",7,101
Phillip Lindsay,2018,29,87,3.0,6,"59.2%",4,5,"80.0%",23,5.8,0,"45.5%",0,15,51.0,3.4,"0.0%",6,110
Aaron Jones,2018,18,88,4.9,6,"47.4%",2,3,"66.7%",9,4.5,0,"30.0%",0,12,47.7,4.0,"94.7%",6,97
Tevin Coleman,2018,16,39,2.4,1,"38.1%",8,10,"80.0%",51,6.4,4,"62.5%",0,16,47.0,2.9,"0.0%",5,90
Mark Ingram,2018,26,92,3.5,6,"32.1%",1,1,"100.0%",1,1.0,0,"3.0%",0,12,46.3,3.9,"0.1%",6,93
Peyton Barber,2018,36,78,2.2,5,"80.0%",2,5,"40.0%",12,6.0,1,"31.3%",1,16,45.0,2.8,"1.0%",6,90
Leonard Fournette,2018,22,40,1.8,5,"61.1%",3,3,"100.0%",17,5.7,1,"25.0%",0,8,44.7,5.6,"2.1%",6,57
Adrian Peterson,2018,31,55,1.8,5,"73.8%",2,3,"66.7%",15,7.5,1,"33.3%",1,16,43.0,2.7,"2.4%",6,70
Nyheim Hines,2018,22,54,2.5,2,"36.7%",8,9,"88.9%",47,5.9,2,"56.3%",0,16,42.1,2.6,"0.8%",4,101
Sony Michel,2018,41,103,2.5,5,"51.3%",1,1,"100.0%",7,7.0,0,"3.3%",0,13,42.0,3.2,"0.0%",5,110
Damien Williams,2018,7,24,3.4,3,"14.6%",7,7,"100.0%",24,3.4,2,"31.8%",0,16,41.8,2.6,"0.0%",5,48
Javorius Allen,2018,11,12,1.1,3,"21.2%",6,6,"100.0%",36,6.0,2,"54.5%",0,14,40.8,2.9,"0.1%",5,48
Matt Breida,2018,23,62,2.7,2,"38.3%",4,4,"100.0%",37,9.3,2,"26.7%",0,14,37.9,2.7,"0.1%",4,99
Ito Smith,2018,21,58,2.8,4,"50.0%",3,4,"75.0%",21,7.0,0,"25.0%",0,14,34.9,2.5,"0.0%",4,79
Royce Freeman,2018,18,49,2.7,5,"36.7%",0,0,"0%",0,0.0,0,"0.0%",0,14,34.9,2.5,"0.4%",5,49
Kerryon Johnson,2018,17,58,3.4,3,"30.4%",3,6,"50.0%",19,6.3,1,"33.3%",0,10,34.7,3.5,"0.0%",4,77
Wendell Smallwood,2018,14,43,3.1,3,"22.2%",3,5,"60.0%",28,9.3,1,"38.5%",0,16,34.1,2.1,"0.0%",4,71
Carlos Hyde,2018,22,38,1.7,5,"42.3%",0,1,"0.0%",0,0.0,0,"7.7%",0,14,33.8,2.4,"0.0%",5,38
TJ Yeldon,2018,12,44,3.7,1,"33.3%",3,6,"50.0%",21,7.0,3,"50.0%",0,14,33.5,2.4,"0.0%",4,65
Mike Davis,2018,20,76,3.8,3,"28.6%",1,1,"100.0%",3,3.0,1,"16.7%",0,15,32.9,2.2,"1.0%",4,79
LeGarrette Blount,2018,25,25,1.0,5,"44.6%",0,0,"0%",0,0.0,0,"0.0%",0,16,32.5,2.0,"0.1%",5,25
Latavius Murray,2018,21,52,2.5,4,"53.8%",2,2,"100.0%",10,5.0,0,"28.6%",0,16,32.2,2.0,"0.0%",4,62
Kenyan Drake,2018,12,49,4.1,3,"42.9%",3,7,"42.9%",16,5.3,1,"58.3%",1,16,31.5,2.0,"0.0%",4,65
Elijah McGuire,2018,12,28,2.3,3,"28.6%",1,2,"50.0%",20,20.0,1,"40.0%",0,8,29.8,3.7,"0.0%",4,48
Duke Johnson,2018,4,9,2.3,0,"7.7%",6,8,"75.0%",43,7.2,3,"61.5%",0,16,29.2,1.8,"0.0%",3,52
Lamar Miller,2018,29,35,1.2,3,"65.9%",1,2,"50.0%",4,4.0,1,"33.3%",0,14,28.9,2.1,"0.0%",4,39
