"Player","year","rz_REC","rz_TGT","rz_REC PCT","rz_YDS_rush","rz_Y/R","rz_TD_rush","rz_TGT PCT","rz_ATT","rz_YDS_rec","rz_TD_rec","rz_PCT","rz_FL","rz_G","rz_FPTS","rz_FPTS/G","rz_ROST %","rz_TD_total","rz_YDS_total"
Eric Ebron,2018,11,20,"55.0%",126,11.5,10,"58.8%",2,1,1,"100.0%",0,16,89.7,5.6,"0.0%",11,127
Travis Kelce,2018,16,25,"64.0%",134,8.4,9,"86.2%",0,0,0,"0%",0,16,83.4,5.2,"99.9%",9,134
Zach Ertz,2018,15,26,"57.7%",114,7.6,7,"68.4%",0,0,0,"0%",0,16,68.4,4.3,"2.5%",7,114
Cameron Brate,2018,8,12,"66.7%",72,9.0,6,"60.0%",0,0,0,"0%",0,16,51.2,3.2,"2.0%",6,72
Trey Burton,2018,9,12,"75.0%",55,6.1,5,"80.0%",1,2,0,"100.0%",0,16,44.7,2.8,"0.0%",5,57
Austin Hooper,2018,9,13,"69.2%",49,5.4,4,"81.3%",0,0,0,"0%",0,16,37.9,2.4,"0.2%",4,49
Jared Cook,2018,10,15,"66.7%",69,6.9,3,"71.4%",0,0,0,"0%",0,16,34.9,2.2,"0.0%",3,69
Jordan Thomas,2018,6,8,"75.0%",47,7.8,4,"40.0%",0,0,0,"0%",0,16,34.7,2.2,"0.0%",4,47
OJ Howard,2018,5,7,"71.4%",50,10.0,4,"35.0%",0,0,0,"0%",0,10,34.0,3.4,"0.0%",4,50
Greg Olsen,2018,5,6,"83.3%",35,7.0,4,"24.0%",0,0,0,"0%",0,9,32.5,3.6,"7.0%",4,35
David Njoku,2018,5,6,"83.3%",30,6.0,4,"75.0%",0,0,0,"0%",0,16,32.0,2.0,"92.1%",4,30
Chris Herndon IV,2018,6,8,"75.0%",78,13.0,3,"61.5%",0,0,0,"0%",0,16,31.8,2.0,"0.0%",3,78
Kyle Rudolph,2018,8,15,"53.3%",42,5.3,3,"93.8%",0,0,0,"0%",0,16,30.2,1.9,"0.0%",3,42
Nick Vannett,2018,5,6,"83.3%",40,8.0,3,"46.2%",0,0,0,"0%",0,15,27.0,1.8,"0.0%",3,40
Vance McDonald,2018,5,10,"50.0%",38,7.6,3,"66.7%",0,0,0,"0%",0,15,26.8,1.8,"0.0%",3,38
Erik Swoope,2018,4,4,"100.0%",39,9.8,3,"11.8%",0,0,0,"0.0%",0,7,25.9,3.7,"0.0%",3,39
Dallas Goedert,2018,5,7,"71.4%",28,5.6,3,"18.4%",0,0,0,"0%",0,16,25.8,1.6,"86.8%",3,28
Ed Dickson,2018,4,5,"80.0%",37,9.3,3,"38.5%",0,0,0,"0%",0,10,25.7,2.6,"0.0%",3,37
CJ Uzomah,2018,4,6,"66.7%",35,8.8,3,"50.0%",0,0,0,"0%",0,16,25.5,1.6,"0.1%",3,35
George Kittle,2018,8,14,"57.1%",54,6.8,2,"77.8%",0,0,0,"0%",0,16,25.4,1.6,"98.5%",2,54
Demetrius Harris,2018,3,4,"75.0%",43,14.3,3,"13.8%",0,0,0,"0%",0,15,25.3,1.7,"0.0%",3,43
Michael Roberts,2018,3,7,"42.9%",34,11.3,3,"87.5%",0,0,0,"0%",0,8,24.4,3.1,"0.0%",3,34
