"Player","Tm","year","rush_Age","rush_Pos","rush_G","rush_GS","rush_Att","rush_Yds","rush_TD","rush_1D","rush_YBC","rush_YBC/Att","rush_YAC","rush_YAC/Att","rush_BrkTkl","rush_Att/Br","rec_Tgt","rec_Rec","rec_Yds","rec_TD","rec_1D","rec_YBC","rec_YBC/R","rec_YAC","rec_YAC/R","rec_ADOT","rec_BrkTkl","rec_Rec/Br","rec_Drop","rec_Drop%","rec_Int","rec_Rat","rz_ATT","rz_YDS_rush","rz_Y/A","rz_TD_rush","rz_PCT","rz_REC","rz_TGT","rz_REC PCT","rz_YDS_rec","rz_Y/R","rz_TD_rec","rz_TGT PCT","rz_TD_total","rz_YDS_total","ADP","PPR_PTS","rank_total_ppr_points","rank_adp","breakout_score"
Christian McCaffrey,CAR,2018,22,RB,16,16,219,1098,7,53,633,2.9,465,2,15,14,124,107,867,6,41,12,0.1,855,8.0,0.7,7,15.3,1,0,0,111.9,46,134,2.9,7,"82.1%",14,16,"87.5%",90,6.4,5,"94.1%",12,224,14.8,385.5,2,9,7
Saquon Barkley,NYG,2018,21,RB,16,16,261,1307,11,50,571,2.2,736,2,30,8,121,91,721,4,30,-47,-0.5,768,8.4,0.1,13,7.0,4,3,1,97.2,44,82,1.9,6,"83.0%",11,15,"73.3%",69,6.3,3,"78.9%",9,151,6.6,385.8,1,5,4
James White,NWE,2018,26,RB,16,3,94,425,5,22,298,3.2,127,1,3,31,123,87,751,7,38,86,1.0,665,7.6,2.4,3,29.0,5,4,1,102.0,21,30,1.4,3,"26.3%",14,20,"70.0%",88,6.3,6,"66.7%",9,118,116.0,276.6,7,38,31
Alvin Kamara,NOR,2018,23,RB,15,13,194,883,14,57,464,2.4,419,2,21,9,105,81,709,4,31,67,0.8,642,7.9,1.8,7,11.6,3,2,1,103.2,51,174,3.4,13,"63.0%",21,26,"80.8%",128,6.1,3,"78.8%",16,302,6.2,354.2,4,4,0
Ezekiel Elliott,DAL,2018,23,RB,15,15,304,1434,6,74,839,2.8,595,2,19,16,95,77,567,3,22,-9,-0.1,576,7.5,0.3,3,25.7,2,2,0,102.1,39,105,2.7,5,"90.7%",12,17,"70.6%",70,5.8,2,"85.0%",7,175,4.0,329.1,5,3,-2
Tarik Cohen,CHI,2018,23,RB,16,7,99,444,3,20,301,3.0,143,1,9,11,91,71,725,5,29,205,2.9,520,7.3,3.6,9,7.9,1,1,2,109.0,11,51,4.6,1,"26.2%",11,14,"78.6%",76,6.9,4,"66.7%",5,127,85.6,233.9,10,30,20
Jalen Richard,OAK,2018,25,RB,16,1,55,259,1,11,120,2.2,139,2,8,6,81,68,607,0,23,112,1.6,495,7.3,1.7,3,22.7,3,3,0,97.9,8,34,4.3,1,"12.9%",3,4,"75.0%",20,6.7,0,"33.3%",1,54,314.0,156.6,28,76,48
Nyheim Hines,IND,2018,22,RB,16,4,85,314,2,17,163,1.9,151,1,3,28,81,63,425,2,29,76,1.2,349,5.5,2.1,3,21.0,4,4,2,86.5,22,54,2.5,2,"36.7%",8,9,"88.9%",47,5.9,2,"56.3%",4,101,178.7,160.9,26,57,31
Theo Riddick,DET,2018,27,RB,14,3,40,171,0,8,92,2.3,79,2,4,10,74,61,384,0,16,-22,-0.4,406,6.7,0.7,3,20.3,6,8,1,82.7,8,21,2.6,0,"14.3%",8,10,"80.0%",39,4.9,0,"55.6%",0,60,154.4,116.5,42,50,8
Todd Gurley,LAR,2018,24,RB,14,14,256,1251,17,70,634,2.5,617,2,17,15,81,59,580,4,26,-7,-0.1,587,9.9,0.6,8,7.4,7,8,1,103.9,64,204,3.2,17,"87.7%",9,19,"47.4%",78,8.7,3,"95.0%",20,282,1.0,372.1,3,1,-2
Dion Lewis,TEN,2018,28,RB,16,7,155,517,1,22,259,1.7,258,1,16,9,67,59,400,1,13,-77,-1.3,477,8.1,-1.1,8,7.4,2,3,1,90.3,23,41,1.8,1,"34.8%",7,8,"87.5%",38,5.4,1,"80.0%",2,79,56.4,160.7,27,21,-6
