"Player","Tm","year","rush_Age","rush_Pos","rush_G","rush_GS","rush_Att","rush_Yds","rush_TD","rush_1D","rush_YBC","rush_YBC/Att","rush_YAC","rush_YAC/Att","rush_BrkTkl","rush_Att/Br","rec_Tgt","rec_Rec","rec_Yds","rec_TD","rec_1D","rec_YBC","rec_YBC/R","rec_YAC","rec_YAC/R","rec_ADOT","rec_BrkTkl","rec_Rec/Br","rec_Drop","rec_Drop%","rec_Int","rec_Rat","rz_ATT","rz_YDS_rush","rz_Y/A","rz_TD_rush","rz_PCT","rz_REC","rz_TGT","rz_REC PCT","rz_YDS_rec","rz_Y/R","rz_TD_rec","rz_TGT PCT","rz_TD_total","rz_YDS_total","ADP","PPR_PTS","rank_total_ppr_points","rank_adp","breakout_score"
James White,NWE,2018,26,RB,16,3,94,425,5,22,298,3.2,127,1,3,31,123,87,751,7,38,86,1.0,665,7.6,2.4,3,29.0,5,4,1,102.0,21,30,1.4,3,"26.3%",14,20,"70.0%",88,6.3,6,"66.7%",9,118,116.0,276.6,7,38,31
Tarik Cohen,CHI,2018,23,RB,16,7,99,444,3,20,301,3.0,143,1,9,11,91,71,725,5,29,205,2.9,520,7.3,3.6,9,7.9,1,1,2,109.0,11,51,4.6,1,"26.2%",11,14,"78.6%",76,6.9,4,"66.7%",5,127,85.6,233.9,10,30,20
Jalen Richard,OAK,2018,25,RB,16,1,55,259,1,11,120,2.2,139,2,8,6,81,68,607,0,23,112,1.6,495,7.3,1.7,3,22.7,3,3,0,97.9,8,34,4.3,1,"12.9%",3,4,"75.0%",20,6.7,0,"33.3%",1,54,314.0,156.6,28,76,48
Nyheim Hines,IND,2018,22,RB,16,4,85,314,2,17,163,1.9,151,1,3,28,81,63,425,2,29,76,1.2,349,5.5,2.1,3,21.0,4,4,2,86.5,22,54,2.5,2,"36.7%",8,9,"88.9%",47,5.9,2,"56.3%",4,101,178.7,160.9,26,57,31
Theo Riddick,DET,2018,27,RB,14,3,40,171,0,8,92,2.3,79,2,4,10,74,61,384,0,16,-22,-0.4,406,6.7,0.7,3,20.3,6,8,1,82.7,8,21,2.6,0,"14.3%",8,10,"80.0%",39,4.9,0,"55.6%",0,60,154.4,116.5,42,50,8
James Conner,PIT,2018,23,RB,13,12,215,973,12,56,522,2.4,451,2,20,10,71,55,497,1,20,-51,-0.9,548,10.0,-0.3,5,11.0,4,5,0,100.5,34,90,2.6,10,"75.6%",6,7,"85.7%",36,6.0,1,"53.8%",11,126,169.2,280.0,6,54,48
TJ Yeldon,JAX,2018,25,RB,14,5,104,414,1,16,229,2.2,185,1,5,20,78,55,487,4,20,37,0.7,450,8.2,0.7,5,11.0,8,10,3,87.9,12,44,3.7,1,"33.3%",3,6,"50.0%",21,7.0,3,"50.0%",4,65,195.3,173.1,21,59,38
Austin Ekeler,LAC,2018,23,RB,14,3,106,554,3,25,206,1.9,348,3,9,11,53,39,404,3,18,-7,-0.2,411,10.5,0.8,7,5.6,2,3,0,114.0,15,43,2.9,2,"31.9%",4,5,"80.0%",28,7.0,1,"25.0%",3,71,178.3,168.8,24,56,32
Jacquizz Rodgers,TAM,2018,28,RB,16,0,33,106,1,7,54,1.6,52,1,2,16,45,38,304,0,13,64,1.7,240,6.3,1.8,5,7.6,0,0,1,85.6,4,13,3.3,1,"8.9%",5,6,"83.3%",28,5.6,0,"37.5%",1,41,316.0,83.0,59,77,18
Phillip Lindsay,DEN,2018,24,RB,15,8,192,1037,9,49,737,3.8,300,1,10,19,47,35,241,1,12,-57,-1.6,298,8.5,-0.9,1,35.0,4,8,0,92.6,29,87,3.0,6,"59.2%",4,5,"80.0%",23,5.8,0,"45.5%",6,110,323.5,222.8,12,80,68
