"Player","Tm","year","rush_Age","rush_Pos","rush_G","rush_GS","rush_Att","rush_Yds","rush_TD","rush_1D","rush_YBC","rush_YBC/Att","rush_YAC","rush_YAC/Att","rush_BrkTkl","rush_Att/Br","rec_Tgt","rec_Rec","rec_Yds","rec_TD","rec_1D","rec_YBC","rec_YBC/R","rec_YAC","rec_YAC/R","rec_ADOT","rec_BrkTkl","rec_Rec/Br","rec_Drop","rec_Drop%","rec_Int","rec_Rat","rz_ATT","rz_YDS_rush","rz_Y/A","rz_TD_rush","rz_PCT","rz_REC","rz_TGT","rz_REC PCT","rz_YDS_rec","rz_Y/R","rz_TD_rec","rz_TGT PCT","rz_TD_total","rz_YDS_total","ADP","PPR_PTS","rank_total_ppr_points","rank_adp","breakout_score"
Nyheim Hines,IND,2018,22,RB,16,4,85,314,2,17,163,1.9,151,1,3,28,81,63,425,2,29,76,1.2,349,5.5,2.1,3,21.0,4,4,2,86.5,22,54,2.5,2,"36.7%",8,9,"88.9%",47,5.9,2,"56.3%",4,101,178.7,160.9,26,57,31
Kenyan Drake,MIA,2018,24,RB,16,7,120,535,4,23,290,2.4,245,2,9,13,73,53,477,5,23,54,1.0,423,8.0,2.2,2,26.5,6,8,0,112.6,12,49,4.1,3,"42.9%",3,7,"42.9%",16,5.3,1,"58.3%",4,65,34.4,206.2,13,14,1
Chris Thompson,WAS,2018,28,RB,10,0,43,178,0,9,126,2.9,52,1,3,14,55,41,268,1,12,49,1.2,219,5.3,1.5,4,10.3,5,9,0,90.6,3,1,0.3,0,"7.1%",3,4,"75.0%",24,8.0,1,"44.4%",1,25,109.0,91.6,53,36,-17
Austin Ekeler,LAC,2018,23,RB,14,3,106,554,3,25,206,1.9,348,3,9,11,53,39,404,3,18,-7,-0.2,411,10.5,0.8,7,5.6,2,3,0,114.0,15,43,2.9,2,"31.9%",4,5,"80.0%",28,7.0,1,"25.0%",3,71,178.3,168.8,24,56,32
Jamaal Williams,GNB,2018,23,RB,16,8,121,464,3,25,231,1.9,233,1,5,24,41,27,210,0,11,-13,-0.5,223,8.3,0.8,2,13.5,0,0,0,78.3,14,25,1.8,3,"36.8%",2,3,"66.7%",12,6.0,0,"30.0%",3,37,78.0,114.4,43,27,-16
Aaron Jones,GNB,2018,24,RB,12,8,133,728,8,41,472,3.5,256,1,6,22,35,26,206,1,12,-15,-0.6,221,8.5,0.3,2,13.0,4,11,0,98.0,18,88,4.9,6,"47.4%",2,3,"66.7%",9,4.5,0,"30.0%",6,97,116.8,171.4,23,39,16
Mark Ingram,NOR,2018,29,RB,12,6,138,645,6,34,274,2.0,371,2,18,7,27,21,170,1,5,15,0.7,155,7.4,0.3,1,21.0,0,0,1,89.8,26,92,3.5,6,"32.1%",1,1,"100.0%",1,1.0,0,"3.0%",6,93,52.2,142.5,31,20,-11
Chase Edmonds,ARI,2018,22,RB,16,0,60,208,2,14,115,1.9,93,1,4,15,23,20,103,0,5,-18,-0.9,121,6.1,-0.5,3,6.7,1,4,0,85.3,8,28,3.5,2,"22.9%",0,0,"0%",0,0.0,0,"0.0%",2,28,245.0,63.1,68,65,-3
Adrian Peterson,WAS,2018,33,RB,16,16,251,1042,7,47,572,2.3,470,1,20,12,26,20,208,1,9,7,0.4,201,10.1,0.3,7,2.9,3,11,0,112.3,31,55,1.8,5,"73.8%",2,3,"66.7%",15,7.5,1,"33.3%",6,70,125.4,189.0,18,40,22
Jordan Wilkins,IND,2018,24,RB,16,3,60,336,1,15,203,3.4,133,2,2,30,17,16,85,0,2,-20,-1.3,105,6.6,-1.5,2,8.0,0,0,0,87.5,4,25,6.3,1,"6.7%",5,5,"100.0%",17,3.4,0,"31.3%",1,42,165.8,60.1,73,53,-20
Derrick Henry,TEN,2018,24,RB,16,12,215,1059,12,50,403,1.9,656,3,34,6,18,15,99,0,4,-16,-1.1,115,7.7,-0.7,3,5.0,0,0,0,89.6,43,168,3.9,10,"65.2%",2,2,"100.0%",2,1.0,0,"20.0%",10,170,42.2,201.4,15,17,2
Rex Burkhead,NWE,2018,28,RB,8,4,57,186,0,11,93,1.6,93,1,2,28,20,14,131,1,4,10,0.7,121,8.6,2.2,0,,0,0,1,83.5,2,5,2.5,0,"2.5%",1,5,"20.0%",6,6.0,0,"16.7%",0,11,69.8,49.7,76,24,-52
Frank Gore,MIA,2018,35,RB,14,14,156,722,0,25,353,2.3,369,2,11,14,16,12,124,1,8,9,0.8,115,9.6,1.3,5,2.4,0,0,0,117.7,13,41,3.2,0,"46.4%",3,3,"100.0%",22,7.3,1,"25.0%",1,63,208.7,102.6,45,60,15
Jeff Wilson,SFO,2018,23,RB,6,2,66,266,0,13,131,2.0,135,2,4,16,15,12,98,0,5,1,0.1,97,8.1,0.5,1,12.0,1,6,1,66.1,11,48,4.4,0,"18.3%",4,5,"80.0%",18,4.5,0,"33.3%",0,66,999.0,44.4,79,94,15
Bilal Powell,NYJ,2018,30,RB,7,7,80,343,0,16,183,2.3,160,2,4,20,18,11,110,1,3,26,2.4,84,7.6,4.9,1,11.0,0,0,1,73.8,10,4,0.4,0,"23.8%",0,1,"0.0%",0,0.0,0,"20.0%",0,4,142.4,60.3,72,46,-26
Carlos Hyde,"2TM",2018,28,RB,14,7,172,571,5,27,210,1.2,361,2,20,8,16,10,33,0,0,-26,-2.6,59,5.9,-0.8,0,,1,6,0,66.7,22,38,1.7,5,"42.3%",0,1,"0.0%",0,0.0,0,"7.7%",5,38,65.8,98.4,48,23,-25
Ronald Jones,TAM,2018,21,RB,9,0,23,44,1,2,16,0.7,28,1,1,23,9,7,33,0,2,-9,-1.3,42,6.0,-1.6,1,7.0,2,22,0,81.9,5,13,2.6,1,"11.1%",1,2,"50.0%",5,5.0,0,"12.5%",1,18,112.4,20.7,90,37,-53
Raheem Mostert,SFO,2018,26,RB,9,0,34,261,1,13,143,4.2,118,3,5,6,7,6,25,0,1,-19,-3.2,44,7.3,-0.6,0,,0,0,0,81.5,1,0,0.0,0,"1.7%",0,0,"0%",0,0.0,0,"0.0%",0,0,999.0,38.6,83,100,17
Mark Walton,CIN,2018,21,RB,14,0,14,34,0,5,19,1.4,15,1,0,,8,5,41,0,1,-7,-1.4,48,9.6,-1.4,0,,1,12,0,75.5,1,4,4.0,0,"2.4%",0,0,"0%",0,0.0,0,"0.0%",0,4,330.0,12.5,99,81,-18
Darrel Williams,KAN,2018,23,RB,6,0,13,44,0,3,13,1.0,31,2,5,2,3,3,27,1,1,-7,-2.3,34,11.3,-2.3,0,,0,0,0,143.7,1,5,5.0,0,"2.1%",1,1,"100.0%",11,11.0,1,"4.5%",1,16,999.0,16.1,93,106,13
Gus Edwards,BAL,2018,23,RB,11,6,137,718,2,37,356,2.6,362,2,7,19,2,2,20,0,1,3,1.5,17,8.5,1.5,0,,0,0,0,108.3,15,52,3.5,2,"28.8%",0,0,"0%",0,0.0,0,"0.0%",2,52,999.0,89.8,54,109,55
Brian Hill,ATL,2018,23,RB,10,0,20,157,0,5,125,6.3,32,1,1,20,2,1,9,0,0,4,4.0,5,5.0,3.5,2,0.5,0,0,0,62.5,2,4,2.0,0,"4.8%",0,1,"0.0%",0,0.0,0,"6.3%",0,4,999.0,15.6,94,112,18
DeAndre Washington,OAK,2018,25,RB,10,0,30,115,0,8,38,1.3,77,2,3,10,1,1,9,0,0,2,2.0,7,7.0,2.0,1,1.0,0,0,0,104.2,7,21,3.0,0,"11.3%",0,0,"0%",0,0.0,0,"0.0%",0,21,355.0,11.4,102,84,-18
Aaron Jones,GNB,2019,25,RB,16,16,236,1084,16,55,569,2.4,515,2,32,7,68,49,474,3,18,41,0.8,433,8.8,2.8,10,4.9,2,3,0,105.9,32,113,3.5,14,"69.6%",10,11,"90.9%",42,4.2,1,"55.0%",15,155,32.3,314.8,2,15,13
Nyheim Hines,IND,2019,23,RB,16,2,52,199,2,16,118,2.3,81,2,2,26,58,44,320,0,15,5,0.1,315,7.2,1.3,4,11.0,2,3,0,88.3,7,23,3.3,2,"12.1%",3,5,"60.0%",11,3.7,0,"71.4%",2,34,156.3,117.9,41,52,11
Jamaal Williams,GNB,2019,24,RB,14,2,107,460,1,23,270,2.5,190,2,5,21,45,39,253,5,16,-26,-0.7,279,7.2,-0.8,10,3.9,1,2,0,127.1,13,32,2.5,1,"28.3%",7,8,"87.5%",50,7.1,5,"40.0%",6,82,367.6,146.3,33,65,32
Kareem Hunt,CLE,2019,24,RB,8,3,43,179,2,8,65,1.5,114,3,4,11,44,37,285,1,17,9,0.2,276,7.5,0.8,4,9.3,2,4,0,101.2,4,15,3.8,2,"6.8%",1,2,"50.0%",15,15.0,1,"28.6%",3,30,117.2,101.4,46,41,-5
DeAndre Washington,OAK,2019,26,RB,16,3,108,387,3,23,186,1.7,201,2,5,22,41,36,292,0,10,46,1.3,246,6.8,1.3,0,,2,5,0,96.3,10,33,3.3,3,"17.9%",2,2,"100.0%",18,9.0,0,"20.0%",3,51,702.5,121.9,39,105,66
JD McKissic,DET,2019,26,RB,16,3,38,205,0,8,112,2.9,93,2,3,13,42,34,233,1,7,-4,-0.1,237,7.0,0.1,3,11.3,0,0,0,97.7,5,19,3.8,0,"11.9%",1,2,"50.0%",3,3.0,0,"40.0%",0,22,659.0,83.8,54,100,46
Ronald Jones,TAM,2019,22,RB,16,9,172,724,6,34,309,1.8,415,2,23,8,40,31,309,0,12,19,0.6,290,9.4,0.9,5,6.2,1,2,1,88.4,20,59,3.0,6,"41.7%",1,1,"100.0%",2,2.0,0,"10.0%",6,61,149.2,166.3,24,50,26
Giovani Bernard,CIN,2019,28,RB,16,2,53,170,0,10,66,1.2,104,2,6,9,43,30,234,0,7,32,1.1,202,6.7,0.6,3,10.0,2,5,1,73.2,9,25,2.8,0,"20.0%",5,7,"71.4%",35,7.0,0,"46.7%",0,60,207.6,68.4,59,56,-3
Rex Burkhead,NWE,2019,29,RB,13,1,65,302,3,18,157,2.4,145,2,6,11,38,27,279,0,10,50,1.9,229,8.5,3.2,3,9.0,2,5,0,91.9,9,18,2.0,2,"13.2%",3,4,"75.0%",17,5.7,0,"13.8%",2,35,408.4,101.1,47,77,30
David Montgomery,CHI,2019,22,RB,16,8,242,889,6,50,496,2.0,393,2,28,9,35,25,185,1,7,29,1.2,156,6.2,2.7,6,4.2,2,6,0,93.2,26,37,1.4,5,"72.2%",2,2,"100.0%",6,3.0,1,"11.1%",6,43,45.3,170.4,23,22,-1
Ty Johnson,DET,2019,22,RB,16,1,63,273,0,11,120,1.9,153,2,5,13,31,24,109,0,4,22,0.9,87,3.6,2.2,1,24.0,2,6,0,81.2,7,16,2.3,0,"16.7%",1,1,"100.0%",1,1.0,0,"20.0%",0,17,712.5,60.2,65,107,42
