"Rank","Player","COMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","Patrick Mahomes II (KC)","64","100","64.0%","478","4.8","35","1","7","14","47","2","100.0%","0","16","175.8","11.0","99.9%"
"2","Andrew Luck (FA)","61","92","66.3%","451","4.9","30","1","3","3","14","0","100.0%","0","16","139.4","8.7","2.2%"
"3","Drew Brees (FA)","67","93","72.0%","396","4.3","22","0","2","6","13","4","27.3%","0","15","129.1","8.6","35.7%"
"4","Deshaun Watson (CLE)","40","73","54.8%","308","4.2","20","0","14","16","92","4","100.0%","0","16","125.5","7.8","33.2%"
"5","Cam Newton (FA)","39","57","68.4%","269","4.7","19","2","4","16","54","4","100.0%","0","14","116.2","8.3","9.1%"
"6","Ben Roethlisberger (FA)","51","90","56.7%","341","3.8","20","4","1","5","25","3","100.0%","0","16","114.1","7.1","13.6%"
"7","Matt Ryan (FA)","45","72","62.5%","352","4.9","21","1","9","5","9","3","100.0%","2","16","113.0","7.1","0.1%"
"8","Russell Wilson (PIT)","36","63","57.1%","291","4.6","24","2","7","7","16","0","100.0%","0","16","109.2","6.8","7.4%"
"9","Jared Goff (DET)","55","95","57.9%","391","4.1","20","2","5","7","14","2","100.0%","0","16","109.0","6.8","70.0%"
"10","Mitchell Trubisky (BUF)","38","61","62.3%","241","4.0","18","1","3","6","35","3","100.0%","0","14","103.1","7.4","0.1%"
"11","Philip Rivers (FA)","41","69","59.4%","278","4.0","21","2","4","9","-5","0","100.0%","0","16","94.6","5.9","20.6%"
"12","Kirk Cousins (ATL)","45","69","65.2%","289","4.2","19","0","7","6","27","1","100.0%","1","16","94.3","5.9","58.9%"
"13","Aaron Rodgers (NYJ)","31","73","42.5%","240","3.3","16","1","3","8","38","2","100.0%","0","16","89.4","5.6","67.8%"
"14","Eli Manning (FA)","38","82","46.3%","250","3.0","18","1","4","6","11","1","100.0%","0","16","89.1","5.6","2.3%"
"15","Dak Prescott (DAL)","34","64","53.1%","192","3.0","10","2","7","19","72","6","100.0%","1","16","88.9","5.6","94.4%"
"16","Baker Mayfield (TB)","35","51","68.6%","256","5.0","19","0","2","7","3","0","87.5%","0","14","86.5","6.2","30.2%"
"17","Tom Brady (FA)","43","79","54.4%","308","3.9","14","1","5","6","8","2","100.0%","0","16","81.1","5.1","2.7%"
"18","Carson Wentz (KC)","34","58","58.6%","240","4.1","18","1","4","5","0","0","71.4%","1","11","79.6","7.2","0.2%"
"19","Derek Carr (NO)","40","64","62.5%","235","3.7","15","2","3","5","4","1","100.0%","0","16","75.8","4.7","7.5%"
"20","Andy Dalton (CAR)","31","48","64.6%","234","4.9","16","1","1","1","2","0","25.0%","0","11","73.6","6.7","0.1%"
"21","Jameis Winston (CLE)","27","46","58.7%","233","5.1","12","2","2","8","38","1","40.0%","0","11","67.1","6.1","0.3%"
"22","Matthew Stafford (LAR)","32","66","48.5%","206","3.1","13","3","5","2","8","0","100.0%","0","16","61.0","3.8","44.0%"
"23","Case Keenum (HOU)","32","62","51.6%","211","3.4","10","3","1","2","2","2","100.0%","0","16","60.6","3.8","0.1%"
"24","Sam Darnold (MIN)","23","42","54.8%","225","5.4","10","1","4","11","16","1","100.0%","0","13","56.6","4.4","4.4%"
"25","Josh Allen (BUF)","8","21","38.1%","43","2.0","2","1","3","19","91","6","90.5%","0","12","54.8","4.6","99.9%"
"26","Ryan Fitzpatrick (FA)","15","38","39.5%","99","2.6","9","2","4","12","32","2","60.0%","1","8","53.2","6.7","0.0%"
"27","Marcus Mariota (WAS)","28","51","54.9%","160","3.1","8","1","4","12","20","2","100.0%","0","14","52.4","3.7","0.1%"
"28","Joe Flacco (IND)","25","47","53.2%","155","3.3","10","1","0","3","0","0","8.8%","0","9","46.2","5.1","0.7%"
"29","Lamar Jackson (BAL)","9","22","40.9%","61","2.8","4","0","4","31","98","3","91.2%","0","16","46.2","2.9","99.8%"
"30","Alex Smith (FA)","18","31","58.1%","130","4.2","7","1","5","10","40","1","76.9%","0","10","43.2","4.3","5.0%"
"31","Ryan Tannehill (FA)","13","22","59.1%","129","5.9","8","1","1","4","6","0","66.7%","0","11","37.8","3.4","0.1%"
"32","Blake Bortles (FA)","16","38","42.1%","105","2.8","7","2","4","4","20","0","50.0%","0","13","34.2","2.6","0.0%"
"33","Josh Rosen (FA)","15","35","42.9%","131","3.7","6","0","0","0","0","0","0.0%","0","14","29.2","2.1","0.0%"
"34","Nick Mullens (MIN)","18","29","62.1%","114","3.9","6","2","2","2","1","0","18.2%","0","8","28.7","3.6","0.1%"
"35","Jeff Driskel (WAS)","8","19","42.1%","59","3.1","4","0","1","3","23","1","75.0%","0","9","26.7","3.0","0.0%"
"36","C.J. Beathard (JAC)","11","20","55.0%","70","3.5","4","1","0","4","9","1","36.4%","0","6","25.7","4.3","0.0%"
"37","Jimmy Garoppolo (LAR)","9","16","56.3%","76","4.8","3","0","6","5","20","0","45.5%","0","3","17.0","5.7","0.2%"
"38","Josh Johnson (BAL)","4","9","44.4%","28","3.1","2","1","1","2","6","1","15.4%","0","4","15.7","3.9","0.1%"
"39","Blaine Gabbert (FA)","6","7","85.7%","59","8.4","3","0","1","0","0","0","0.0%","0","8","14.4","1.8","0.0%"
"40","Chase Daniel (FA)","5","11","45.5%","31","2.8","3","0","0","0","0","0","0.0%","0","5","13.2","2.6","0.0%"
