"Rank","Player","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","ATT","YDS","TD","PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","Sam LaPorta (DET)","10","15","66.7%","91","9.1","7","93.8%","0","0","0","0%","0","17","61.1","3.6","99.9%"
"2","Mark Andrews (BAL)","10","14","71.4%","77","7.7","6","60.9%","1","0","0","100.0%","0","10","53.7","5.4","99.8%"
"3","Jake Ferguson (DAL)","12","24","50.0%","92","7.7","5","75.0%","0","0","0","0.0%","0","17","51.2","3.0","91.4%"
"4","Travis Kelce (KC)","13","20","65.0%","74","5.7","5","83.3%","0","0","0","0.0%","1","15","48.4","3.2","99.9%"
"5","Cole Kmet (CHI)","10","13","76.9%","61","6.1","5","76.5%","1","1","0","100.0%","0","17","46.2","2.7","64.2%"
"6","Taysom Hill (NO)","2","5","40.0%","10","5.0","1","22.7%","27","102","4","100.0%","1","16","45.6","2.9","16.2%"
"7","Dalton Schultz (HOU)","7","14","50.0%","80","11.4","5","70.0%","0","0","0","0.0%","0","15","45.0","3.0","76.8%"
"8","Hunter Henry (NE)","5","6","83.3%","53","10.6","5","54.5%","0","0","0","0%","0","14","40.3","2.9","20.3%"
"9","T.J. Hockenson (MIN)","9","14","64.3%","58","6.4","4","60.9%","0","0","0","0%","0","15","38.8","2.6","78.6%"
"10","Cade Otton (TB)","8","11","72.7%","58","7.3","4","78.6%","0","0","0","0%","0","17","37.8","2.2","17.6%"
"11","George Kittle (SF)","9","13","69.2%","70","7.8","3","86.7%","0","0","0","0%","0","16","34.0","2.1","98.5%"
"12","Donald Parham Jr. (LAC)","6","10","60.0%","35","5.8","4","43.5%","0","0","0","0%","0","14","33.5","2.4","0.6%"
"13","Jimmy Graham (FA)","5","5","100.0%","31","6.2","4","22.7%","0","0","0","0.0%","0","13","32.1","2.5","0.0%"
"14","Logan Thomas (FA)","4","9","44.4%","28","7.0","4","56.3%","0","0","0","0%","0","16","30.8","1.9","0.6%"
"15","David Njoku (CLE)","8","20","40.0%","41","5.1","3","80.0%","0","0","0","0%","0","16","30.1","1.9","92.1%"
"16","Gerald Everett (CHI)","8","11","72.7%","35","4.4","3","47.8%","0","0","0","0%","0","15","29.5","2.0","0.7%"
"17","Dallas Goedert (PHI)","6","10","60.0%","46","7.7","3","76.9%","1","1","0","100.0%","0","14","28.7","2.1","86.8%"
"18","Juwan Johnson (NO)","7","8","87.5%","36","5.1","3","36.4%","0","0","0","0.0%","0","13","28.6","2.2","5.5%"
"19","Adam Trautman (DEN)","6","13","46.2%","44","7.3","3","81.3%","0","0","0","0%","0","17","28.4","1.7","0.1%"
"20","Harrison Bryant (LV)","4","5","80.0%","18","4.5","3","20.0%","0","0","0","0%","0","17","23.8","1.4","0.0%"
"21","Isaiah Likely (BAL)","6","7","85.7%","48","8.0","2","30.4%","0","0","0","0.0%","0","17","22.8","1.3","13.3%"
"22","Tommy Tremble (CAR)","4","4","100.0%","6","1.5","3","40.0%","0","0","0","0%","0","16","22.6","1.4","0.2%"
"23","Trey McBride (ARI)","6","9","66.7%","42","7.0","2","42.9%","0","0","0","0%","0","17","22.2","1.3","98.1%"
"24","Michael Mayer (LV)","5","7","71.4%","46","9.2","2","87.5%","0","0","0","0%","0","14","21.6","1.5","2.0%"
"25","Tucker Kraft (GB)","5","8","62.5%","27","5.4","2","50.0%","0","0","0","0%","0","17","19.7","1.2","3.9%"
"26","Josh Oliver (MIN)","4","5","80.0%","19","4.8","2","21.7%","0","0","0","0%","0","17","17.9","1.1","0.2%"
"27","Evan Engram (JAC)","6","9","66.7%","19","3.2","2","64.3%","0","0","0","0%","1","17","17.9","1.1","95.5%"
"28","Tyler Higbee (LAR)","3","5","60.0%","24","8.0","2","62.5%","0","0","0","0%","0","15","17.4","1.2","1.4%"
"29","Pat Freiermuth (PIT)","3","6","50.0%","24","8.0","2","54.5%","0","0","0","0%","0","12","17.4","1.5","69.2%"
"30","Mo Alie-Cox (IND)","3","4","75.0%","23","7.7","2","30.8%","0","0","0","0%","0","17","17.3","1.0","0.1%"
"31","Mike Gesicki (CIN)","3","5","60.0%","20","6.7","2","45.5%","0","0","0","0%","0","17","17.0","1.0","3.4%"
"32","Luke Schoonmaker (DAL)","3","5","60.0%","19","6.3","2","15.6%","0","0","0","0.0%","0","17","16.9","1.0","0.2%"
"33","Brevin Jordan (HOU)","2","2","100.0%","16","8.0","2","10.0%","0","0","0","0.0%","0","13","15.6","1.2","0.1%"
"34","Andrew Beck (HOU)","3","4","75.0%","5","1.7","1","20.0%","3","1","1","100.0%","0","15","15.6","1.0","0.1%"
"35","Jonnu Smith (MIA)","5","8","62.5%","31","6.2","1","47.1%","1","0","0","100.0%","0","17","14.1","0.8","4.7%"
"36","Luke Musgrave (GB)","3","6","50.0%","31","10.3","1","37.5%","0","0","0","0%","0","11","12.1","1.1","33.8%"
"37","Darren Waller (FA)","3","4","75.0%","31","10.3","1","57.1%","0","0","0","0%","0","12","12.1","1.0","3.4%"
"38","Brenton Strange (JAC)","3","4","75.0%","28","9.3","1","28.6%","0","0","0","0%","0","14","11.8","0.8","0.1%"
"39","Kylen Granson (IND)","4","6","66.7%","18","4.5","1","46.2%","0","0","0","0%","0","15","11.8","0.8","0.1%"
"40","Irv Smith Jr. (KC)","5","6","83.3%","27","5.4","1","42.9%","0","0","0","0%","1","12","11.7","1.0","0.1%"
"41","Tanner Hudson (CIN)","3","3","100.0%","25","8.3","1","21.4%","0","0","0","0%","0","12","11.5","1.0","0.2%"
"42","Hayden Hurst (LAC)","3","5","60.0%","25","8.3","1","50.0%","0","0","0","0%","0","10","11.5","1.2","1.6%"
"43","Charlie Kolar (BAL)","2","2","100.0%","34","17.0","1","8.7%","0","0","0","0.0%","0","14","11.4","0.8","0.0%"
"44","Drew Sample (CIN)","3","3","100.0%","23","7.7","1","21.4%","0","0","0","0%","0","17","11.3","0.7","0.1%"
"45","Colby Parkinson (LAR)","4","8","50.0%","12","3.0","1","72.7%","0","0","0","0%","0","17","11.2","0.7","2.5%"
"46","Chigoziem Okonkwo (TEN)","3","6","50.0%","19","6.3","1","50.0%","0","0","0","0%","0","17","10.9","0.6","15.2%"
"47","Zach Ertz (WAS)","3","8","37.5%","17","5.7","1","38.1%","0","0","0","0%","0","7","10.7","1.5","2.5%"
"48","Dawson Knox (BUF)","3","7","42.9%","15","5.0","1","38.9%","0","0","0","0%","0","12","10.5","0.9","3.8%"
"49","Kyle Pitts (ATL)","3","5","60.0%","14","4.7","1","29.4%","0","0","0","0.0%","0","17","10.4","0.6","95.4%"
"50","Foster Moreau (NO)","3","4","75.0%","13","4.3","1","18.2%","0","0","0","0.0%","0","15","10.3","0.7","0.1%"
"51","Marcedes Lewis (CHI)","2","2","100.0%","17","8.5","1","11.8%","0","0","0","0.0%","0","17","9.7","0.6","0.1%"
"52","Johnny Mundt (MIN)","2","4","50.0%","14","7.0","1","17.4%","0","0","0","0%","0","17","9.4","0.6","2.8%"
"53","Davis Allen (LAR)","2","2","100.0%","13","6.5","1","25.0%","0","0","0","0%","0","15","9.3","0.6","0.1%"
"54","Elijah Higgins (ARI)","2","2","100.0%","12","6.0","1","9.5%","0","0","0","0%","0","11","9.2","0.8","0.1%"
"55","Josh Whyle (TEN)","2","5","40.0%","12","6.0","1","41.7%","0","0","0","0%","0","11","9.2","0.8","0.1%"
"56","MyCole Pruitt (PIT)","1","4","25.0%","20","20.0","1","23.5%","0","0","0","0.0%","0","17","9.0","0.5","0.0%"
"57","Ben Sims (GB)","2","2","100.0%","7","3.5","1","12.5%","0","0","0","0%","0","16","8.7","0.5","0.1%"
"58","C.J. Uzomah (FA)","2","4","50.0%","6","3.0","1","33.3%","0","0","0","0%","0","12","8.6","0.7","0.1%"
"59","Quintin Morris (BUF)","1","2","50.0%","15","15.0","1","11.1%","0","0","0","0%","0","15","8.5","0.6","0.0%"
"60","Dalton Kincaid (BUF)","5","9","55.6%","27","5.4","0","50.0%","0","0","0","0%","0","16","7.7","0.5","96.6%"
"61","Drew Ogletree (IND)","1","2","50.0%","5","5.0","1","15.4%","0","0","0","0%","0","12","7.5","0.6","0.1%"
"62","Blake Bell (FA)","1","1","100.0%","4","4.0","1","4.2%","0","0","0","0.0%","0","17","7.4","0.4","0.0%"
"63","Lucas Krull (DEN)","1","2","50.0%","3","3.0","1","12.5%","0","0","0","0%","0","7","7.3","1.0","0.1%"
"64","Noah Gray (KC)","1","3","33.3%","2","2.0","1","12.5%","1","1","0","100.0%","0","17","7.3","0.4","0.8%"
"65","Ko Kieft (TB)","1","2","50.0%","2","2.0","1","14.3%","0","0","0","0%","0","16","7.2","0.5","0.0%"
"66","Tyler Conklin (NYJ)","3","7","42.9%","11","3.7","0","58.3%","0","0","0","0%","0","17","4.1","0.2","17.0%"
"67","Robert Tonyan (MIN)","2","2","100.0%","21","10.5","0","11.8%","0","0","0","0.0%","0","17","4.1","0.2","0.0%"
"68","Geoff Swaim (FA)","2","2","100.0%","18","9.0","0","9.5%","0","0","0","0%","0","14","3.8","0.3","0.0%"
"69","Cole Turner (WAS)","2","4","50.0%","17","8.5","0","25.0%","0","0","0","0%","0","12","3.7","0.3","0.0%"
"70","Durham Smythe (MIA)","2","5","40.0%","14","7.0","0","83.3%","0","0","0","0%","0","16","3.4","0.2","0.2%"
"71","Connor Heyward (PIT)","2","3","66.7%","11","5.5","0","27.3%","0","0","0","0%","0","17","3.1","0.2","0.2%"
"72","Jack Stoll (NYG)","1","2","50.0%","14","14.0","0","15.4%","0","0","0","0.0%","0","17","2.4","0.1","0.0%"
"73","Darnell Washington (PIT)","1","2","50.0%","12","12.0","0","18.2%","0","0","0","0%","0","17","2.2","0.1","0.2%"
"74","Payne Durham (TB)","1","1","100.0%","12","12.0","0","7.1%","0","0","0","0%","0","13","2.2","0.2","0.0%"
"75","Ross Dwelley (ATL)","1","1","100.0%","12","12.0","0","6.7%","0","0","0","0%","0","12","2.2","0.2","0.0%"
"76","Noah Fant (SEA)","1","2","50.0%","12","12.0","0","18.2%","0","0","0","0%","0","17","2.2","0.1","15.6%"
"77","Mitchell Wilcox (NE)","1","2","50.0%","10","10.0","0","14.3%","0","0","0","0%","0","17","2.0","0.1","0.0%"
"78","Grant Calcaterra (PHI)","1","1","100.0%","9","9.0","0","7.7%","0","0","0","0.0%","0","14","1.9","0.1","0.1%"
"79","Daniel Bellinger (NYG)","1","1","100.0%","7","7.0","0","14.3%","0","0","0","0%","0","17","1.7","0.1","0.5%"
"80","Kevin Rader (NO)","1","1","100.0%","6","6.0","0","8.3%","0","0","0","0%","0","14","1.6","0.1","0.0%"
"81","Brycen Hopkins (FA)","1","1","100.0%","5","5.0","0","12.5%","0","0","0","0%","0","15","1.5","0.1","0.0%"
"82","Austin Hooper (NE)","1","1","100.0%","4","4.0","0","12.5%","0","0","0","0%","0","17","1.4","0.1","0.2%"
"83","Charlie Woerner (ATL)","1","1","100.0%","3","3.0","0","6.7%","0","0","0","0%","0","17","1.3","0.1","0.1%"
"84","Jeremy Ruckert (NYJ)","1","1","100.0%","3","3.0","0","8.3%","0","0","0","0%","0","15","1.3","0.1","0.1%"
"85","Brock Wright (DET)","1","1","100.0%","2","2.0","0","6.3%","0","0","0","0%","0","14","1.2","0.1","0.2%"
"86","John Bates (WAS)","1","3","33.3%","0","0.0","0","18.8%","0","0","0","0%","0","17","1.0","0.1","0.0%"
