"Player","Tm","year","rec_Age","rec_Pos","rec_G","rec_GS","rec_Tgt","rec_Rec","rec_Yds","rec_TD","rec_1D","rec_YBC","rec_YBC/R","rec_YAC","rec_YAC/R","rec_ADOT","rec_BrkTkl","rec_Rec/Br","rec_Drop","rec_Drop%","rec_Int","rec_Rat","rz_REC","rz_TGT","rz_REC PCT","rz_YDS_rush","rz_Y/R","rz_TD_rush","rz_TGT PCT","rz_ATT","rz_YDS_rec","rz_TD_rec","rz_PCT","rz_FL","rz_G","rz_FPTS","rz_FPTS/G","rz_ROST %","rz_TD_total","rz_YDS_total","ADP","PPR_PTS","rank_total_ppr_points","rank_adp","breakout_score"
George Kittle,SFO,2018,25,TE,16,16,136,88,1377,5,60,507,5.8,870,9.9,7.1,9,9.8,5,3,3,101.3,8,14,"57.1%",54,6.8,2,"77.8%",0,0,0,"0%",0,16,25.4,1.6,"98.5%",2,54,136.8,258.7,3,13,10
Austin Hooper,ATL,2018,24,TE,16,7,88,71,660,4,30,423,6.0,237,3.3,6.9,4,17.8,4,4,1,108.3,9,13,"69.2%",49,5.4,4,"81.3%",0,0,0,"0%",0,16,37.9,2.4,"0.2%",4,49,195.7,163.0,6,23,17
Jared Cook,OAK,2018,31,TE,16,14,101,68,896,6,46,553,8.1,343,5.0,8.3,4,17.0,9,8,4,98.5,10,15,"66.7%",69,6.9,3,"71.4%",0,0,0,"0%",0,16,34.9,2.2,"0.0%",3,69,171.0,193.6,5,17,12
Eric Ebron,IND,2018,25,TE,16,8,110,66,750,13,39,500,7.6,250,3.8,9.5,0,,9,8,2,112.3,11,20,"55.0%",126,11.5,10,"58.8%",2,1,1,"100.0%",0,16,89.7,5.6,"0.0%",11,127,175.5,222.2,4,18,14
Vance McDonald,PIT,2018,28,TE,15,14,72,50,610,4,33,223,4.5,387,7.7,5.3,10,5.0,4,5,1,108.0,5,10,"50.0%",38,7.6,3,"66.7%",0,0,0,"0%",0,15,26.8,1.8,"0.0%",3,38,193.7,133.0,10,22,12
Mark Andrews,BAL,2018,23,TE,16,3,50,34,552,3,28,359,10.6,193,5.7,10.8,1,34.0,3,6,0,124.7,3,7,"42.9%",17,5.7,2,"36.8%",0,0,0,"0%",0,16,16.7,1.0,"99.8%",2,17,261.0,107.2,16,28,12
Darren Waller,OAK,2019,27,TE,16,16,117,90,1145,3,53,575,6.4,570,6.3,7.3,8,11.3,5,4,2,108.4,7,11,"63.6%",60,8.6,3,"52.4%",0,0,0,"0%",0,16,31.0,1.9,"3.4%",3,60,189.0,221.0,3,19,16
Austin Hooper,ATL,2019,25,TE,13,10,97,75,787,6,41,452,6.0,335,4.5,6.5,5,15.0,1,1,2,112.3,9,16,"56.3%",57,6.3,6,"84.2%",0,0,0,"0%",0,13,50.7,3.9,"0.2%",6,57,114.0,191.7,6,11,5
Tyler Higbee,LAR,2019,26,TE,15,15,89,69,734,3,36,338,4.9,396,5.7,6.6,5,13.8,2,2,1,107.6,11,15,"73.3%",61,5.5,2,"65.2%",0,0,0,"0.0%",0,15,29.1,1.9,"1.4%",2,61,321.5,160.4,8,27,19
Mark Andrews,BAL,2019,24,TE,15,4,98,64,852,10,44,561,8.8,291,4.5,10.6,3,21.3,7,7,3,114.0,8,15,"53.3%",83,10.4,8,"55.6%",0,0,0,"0%",0,15,64.3,4.3,"99.8%",8,83,146.3,207.2,5,16,11
Jason Witten,DAL,2019,37,TE,16,16,83,63,529,4,27,367,5.8,162,2.6,6.6,0,,6,7,0,108.0,7,10,"70.0%",50,7.1,4,"83.3%",0,0,0,"0%",0,16,36.0,2.3,"0.0%",4,50,197.0,139.9,11,21,10
Dallas Goedert,PHI,2019,24,TE,15,9,87,58,607,5,33,276,4.8,331,5.7,5.8,5,11.6,5,6,3,91.5,8,11,"72.7%",43,5.4,4,"36.7%",0,0,0,"0%",0,15,36.3,2.4,"86.8%",4,43,208.2,144.7,10,23,13
Mike Gesicki,MIA,2019,24,TE,16,5,89,51,570,5,25,408,8.0,162,3.2,10.1,0,,0,0,2,85.9,3,9,"33.3%",38,12.7,3,"100.0%",0,0,0,"0%",0,16,24.8,1.6,"3.4%",3,38,407.6,136.0,12,42,30
Jack Doyle,IND,2019,29,TE,16,16,72,43,448,4,29,232,5.4,216,5.0,6.8,0,,3,4,2,84.7,5,12,"41.7%",36,7.2,3,"46.2%",0,0,0,"0%",0,16,26.6,1.7,"2.0%",3,36,191.2,111.8,15,20,5
Noah Fant,DEN,2019,22,TE,16,11,66,40,562,3,23,232,5.8,330,8.3,7.6,3,13.3,5,8,3,84.3,1,9,"11.1%",14,14.0,1,"47.4%",0,0,0,"0%",0,16,8.4,0.5,"15.6%",1,14,197.8,111.0,16,22,6
Logan Thomas,WAS,2020,29,TE,16,15,110,72,670,6,36,382,5.3,288,4.0,7.0,3,24.0,7,6,4,85.0,14,16,"87.5%",104,7.4,5,"94.1%",1,2,0,"100.0%",0,16,54.6,3.4,"0.6%",5,106,333.0,176.6,3,46,43
TJ Hockenson,DET,2020,23,TE,16,16,101,67,723,6,40,394,5.9,329,4.9,7.0,4,16.8,7,7,4,90.5,9,17,"52.9%",59,6.6,6,"68.0%",0,0,0,"0%",0,16,50.9,3.2,"78.6%",6,59,134.8,175.3,5,14,9
Dalton Schultz,DAL,2020,24,TE,16,14,89,63,615,4,33,336,5.3,279,4.4,6.4,8,7.9,4,4,2,95.5,8,12,"66.7%",61,7.6,3,"80.0%",0,0,0,"0.0%",0,16,32.1,2.0,"76.8%",3,61,337.0,146.5,11,47,36
Noah Fant,DEN,2020,23,TE,15,14,93,62,673,3,34,296,4.8,377,6.1,6.7,4,15.5,5,5,2,89.6,7,11,"63.6%",69,9.9,3,"47.8%",0,0,0,"0%",0,15,31.9,2.1,"15.6%",3,69,115.0,149.3,8,12,4
Mike Gesicki,MIA,2020,25,TE,15,9,85,53,703,6,36,536,10.1,167,3.2,11.1,0,,2,2,3,97.3,6,14,"42.9%",56,9.3,5,"53.8%",0,0,0,"0%",0,15,41.6,2.8,"3.4%",5,56,139.3,159.3,7,15,8
Robert Tonyan,GNB,2020,26,TE,16,8,59,52,586,11,33,363,7.0,223,4.3,7.7,0,,0,0,0,147.6,9,10,"90.0%",64,7.1,6,"58.8%",0,0,0,"0%",0,16,51.4,3.2,"0.0%",6,64,354.0,176.6,4,50,46
Jimmy Graham,CHI,2020,34,TE,16,15,76,50,456,8,32,258,5.2,198,4.0,6.8,1,50.0,1,1,3,100.5,12,19,"63.2%",82,6.8,7,"67.9%",0,0,0,"0.0%",0,16,62.2,3.9,"0.0%",7,82,241.0,143.6,13,25,12
