,pre_breakout_avg,normal_avg,percentage_diff
ADP,533.3169082125604,449.27627986348125,18.70577907531999
rank_adp,109.3671497584541,98.27047781569966,11.291969052562843
rec_G,13.415458937198068,12.587883959044369,6.574377241212871
rec_Rec/Br,21.8216,20.674318507890963,5.549307425399022
rec_YAC/R,4.548309178743962,4.354397950469684,4.453227070193747
rec_Rat,88.19371980676328,88.41049488054608,-0.2451915624674306
rank_total_ppr_points,97.53140096618357,98.27047781569966,-0.7520843145814243
rec_ADOT,10.532850241545894,10.761092150170649,-2.1209920465288015
rec_Age,25.169082125603865,25.802047781569964,-2.453160544947979
rec_YBC/R,8.161352657004832,8.442783945345859,-3.3333944130616766
rec_Tgt,48.94685990338164,52.64761092150171,-7.029285761205642
rec_Rec,30.801932367149757,33.38481228668942,-7.736691455262306
rec_YAC,132.69565217391303,145.72440273037543,-8.940678645682059
rec_Drop%,4.454106280193237,4.897610921501706,-9.055530306855855
rec_GS,5.763285024154589,6.371160409556314,-9.54104662770619
rec_Drop,2.154589371980676,2.3993174061433447,-10.19990241958206
PPR_PTS,83.42898550724637,93.34897610921502,-10.626780298439064
rec_Yds,378.8695652173913,424.2184300341297,-10.689979879726097
rec_1D,18.169082125603865,20.53224419604471,-11.509516679604276
rec_BrkTkl,1.5265700483091786,1.726962457337884,-11.603750167077202
rec_YBC,246.17391304347825,278.49402730375425,-11.605316844021345
rec_Int,1.2705314009661837,1.4876174210076858,-14.592866215189378
rec_TD,2.1207729468599035,2.582764505119454,-17.887482863567662
