"Player","Tm","year","rec_Age","rec_Pos","rec_G","rec_GS","rec_Tgt","rec_Rec","rec_Yds","rec_TD","rec_1D","rec_YBC","rec_YBC/R","rec_YAC","rec_YAC/R","rec_ADOT","rec_BrkTkl","rec_Rec/Br","rec_Drop","rec_Drop%","rec_Int","rec_Rat","ADP","PPR_PTS","rank_total_ppr_points","rank_adp","breakout_score"
Taylor Gabriel,CHI,2018,27,WR,16,11,93,67,688,2,31,462,6.9,226,3.4,11.1,2,33.5,0,0,2,91.2,284.5,151.9,41,100,59
Cole Beasley,DAL,2018,29,WR,16,4,87,65,672,3,39,459,7.1,213,3.3,7.4,2,32.5,1,1,0,108.0,248.0,150.2,43,85,42
Nelson Agholor,PHI,2018,25,WR,16,16,97,64,736,4,28,386,6.0,350,5.5,9.5,3,21.3,3,3,1,98.1,102.0,165.4,34,42,8
Willie Snead,BAL,2018,26,WR,16,10,95,62,651,1,37,369,6.0,282,4.5,8.1,9,6.9,5,5,3,75.4,273.0,134.4,52,92,40
Danny Amendola,MIA,2018,33,WR,15,15,79,59,575,1,27,346,5.9,229,3.9,7.5,1,59.0,2,2,3,83.0,187.6,127.4,57,72,15
Chris Godwin,TAM,2018,22,WR,16,5,95,59,842,7,48,597,10.1,245,4.2,11.7,2,29.5,3,3,2,106.6,166.6,185.2,27,62,35
Allen Robinson,CHI,2018,25,WR,13,12,94,55,754,4,36,538,9.8,216,3.9,12.0,5,11.0,3,3,3,85.2,48.0,153.3,40,22,-18
Seth Roberts,OAK,2018,27,WR,15,7,64,45,494,2,24,283,6.3,211,4.7,8.9,2,22.5,4,6,0,103.3,405.0,106.9,68,128,60
Jarius Wright,CAR,2018,29,WR,16,6,59,43,447,1,24,249,5.8,198,4.6,6.2,5,8.6,3,5,1,93.0,999.0,97.6,77,142,65
Kendrick Bourne,SFO,2018,23,WR,16,8,66,42,487,4,30,340,8.1,147,3.5,8.2,4,10.5,5,7,2,93.4,457.0,114.7,65,140,75
John Brown,BAL,2018,28,WR,16,15,97,42,715,5,28,559,13.3,156,3.7,16.3,1,42.0,6,6,2,77.5,173.2,143.9,45,66,21
Courtland Sutton,DEN,2018,23,WR,16,9,84,42,704,4,30,541,12.9,163,3.9,14.0,5,8.4,7,8,3,79.7,194.4,136.3,50,77,27
Cooper Kupp,LAR,2018,25,WR,8,8,55,40,566,6,25,263,6.6,303,7.6,8.4,2,20.0,1,1,1,134.4,85.0,135.1,51,36,-15
Randall Cobb,GNB,2018,28,WR,9,6,61,38,383,2,18,150,3.9,233,6.1,8.3,3,12.7,4,6,0,91.1,99.4,86.3,85,41,-44
Keelan Cole,JAX,2018,25,WR,16,11,70,38,491,1,25,355,9.3,136,3.6,9.9,1,38.0,7,10,2,69.4,136.4,89.1,81,49,-32
Michael Gallup,DAL,2018,22,WR,16,8,68,33,507,2,21,334,10.1,173,5.2,14.1,0,,5,7,2,71.1,144.2,97.7,76,52,-24
Chris Conley,KAN,2018,26,WR,16,13,52,32,334,5,18,194,6.1,140,4.4,8.4,2,16.0,4,7,1,104.2,427.0,91.4,80,134,54
Jamison Crowder,WAS,2018,25,WR,9,7,49,29,388,2,15,177,6.1,211,7.3,9.3,0,,4,8,1,89.5,88.4,82.8,87,37,-50
Josh Reynolds,LAR,2018,23,WR,16,8,53,29,402,5,23,273,9.4,129,4.4,12.4,1,29.0,2,3,4,79.3,458.0,100.0,74,141,67
Dontrelle Inman,IND,2018,29,WR,9,4,39,28,304,3,16,246,8.8,58,2.1,10.3,1,28.0,1,2,0,120.0,999.0,76.4,90,144,54
Zach Pascal,IND,2018,24,WR,16,4,46,27,268,2,15,187,6.9,81,3.0,9.5,1,27.0,4,8,2,71.6,999.0,66.8,100,146,46
Tajae Sharpe,TEN,2018,24,WR,16,13,47,26,316,2,22,242,9.3,74,2.8,10.9,0,,1,2,3,63.8,348.0,71.2,96,118,22
DeVante Parker,MIA,2018,25,WR,11,7,47,24,309,1,14,215,9.0,94,3.9,12.9,2,12.0,2,4,1,70.3,125.2,60.9,107,46,-61
John Ross,CIN,2018,23,WR,13,10,58,21,210,7,13,151,7.2,59,2.8,13.8,1,21.0,7,12,5,51.0,180.2,84.9,86,68,-18
Alex Erickson,CIN,2018,26,WR,16,6,29,20,167,0,7,92,4.6,75,3.8,8.3,0,,1,3,0,83.5,151.0,36.9,135,56,-79
Allen Hurns,DAL,2018,27,WR,16,7,35,20,295,2,11,217,10.9,78,3.9,11.4,0,,2,5,0,103.9,125.2,61.5,106,47,-59
Isaiah McKenzie,"2TM",2018,23,WR,8,1,30,18,179,0,10,103,5.7,76,4.2,8.2,3,6.0,1,3,1,63.1,999.0,52.5,117,151,34
Bennie Fowler,NYG,2018,27,WR,10,5,27,16,199,1,11,123,7.7,76,4.8,9.7,3,5.3,2,7,2,63.7,404.0,41.9,127,127,0
Breshad Perriman,CLE,2018,25,WR,10,2,25,16,340,2,13,265,16.6,75,4.7,18.4,0,,0,0,0,134.2,999.0,62.2,104,153,49
Jaron Brown,SEA,2018,28,WR,16,2,19,14,166,5,9,120,8.6,46,3.3,12.8,0,,0,0,1,117.5,320.0,60.6,108,113,5
DJ Chark,JAX,2018,22,WR,11,0,32,14,174,0,6,129,9.2,45,3.2,9.8,0,,2,6,1,48.2,290.3,29.4,146,104,-42
Cody Latimer,NYG,2018,26,WR,6,2,16,11,190,1,6,167,15.2,23,2.1,19.9,0,,0,0,0,129.7,333.0,36.0,137,117,-20
Marvin Hall,ATL,2018,25,WR,16,0,19,10,149,1,5,92,9.2,57,5.7,10.9,0,,0,0,0,96.2,999.0,30.9,143,166,23
Russell Gage,ATL,2018,22,WR,15,0,10,6,63,0,2,44,7.3,19,3.2,10.5,0,,2,20,0,78.3,999.0,12.3,170,172,2
Marcus Johnson,IND,2018,24,WR,5,0,8,6,102,1,5,74,12.3,28,4.7,13.8,0,,1,12,0,156.2,999.0,22.0,157,174,17
Vyncint Smith,HOU,2018,22,WR,7,1,10,5,91,1,3,85,17.0,6,1.2,19.3,0,,1,10,1,75.4,999.0,20.1,159,179,20
Auden Tate,CIN,2018,21,WR,7,0,12,4,35,0,2,33,8.3,2,0.5,10.2,0,,1,8,0,42.4,999.0,7.5,179,182,3
Malik Turner,SEA,2018,22,WR,6,0,3,2,20,0,1,6,3.0,14,7.0,3.7,0,,0,0,0,85.4,999.0,4.0,188,190,2
Cole Beasley,BUF,2019,30,WR,15,10,106,67,778,6,37,448,6.7,330,4.9,8.0,4,16.8,6,6,4,88.5,201.2,184.8,34,62,28
Stefon Diggs,MIN,2019,26,WR,15,15,94,63,1130,6,41,828,13.1,302,4.8,14.9,2,31.5,6,6,5,107.1,32.2,212.1,24,13,-11
Marvin Jones,DET,2019,29,WR,13,11,91,62,779,9,41,673,10.9,106,1.7,13.0,2,31.0,2,2,5,104.6,96.3,193.9,28,36,8
Diontae Johnson,PIT,2019,23,WR,16,12,92,59,680,5,31,375,6.4,305,5.2,9.2,9,6.6,6,6,2,95.4,658.5,163.1,39,171,132
Curtis Samuel,CAR,2019,23,WR,16,15,105,54,627,6,36,474,8.8,153,2.8,14.6,3,18.0,7,7,1,84.9,98.7,171.7,36,38,2
Robbie Chosen,NYJ,2019,26,WR,16,15,96,52,779,5,35,586,11.3,193,3.7,14.6,1,52.0,4,4,3,85.4,78.3,162.3,40,30,-10
Russell Gage,ATL,2019,23,WR,16,4,74,49,446,1,25,295,6.0,151,3.1,7.1,0,,0,0,1,81.2,896.0,98.8,71,185,114
Brandin Cooks,LAR,2019,26,WR,14,14,72,42,583,2,32,414,9.9,169,4.0,13.9,0,,4,6,2,82.1,38.8,117.5,62,15,-47
Zach Pascal,IND,2019,25,WR,16,13,72,41,607,5,29,372,9.1,235,5.7,10.8,3,13.7,3,4,4,84.7,580.0,135.3,52,150,98
Nelson Agholor,PHI,2019,26,WR,11,10,69,39,363,3,17,237,6.1,126,3.2,11.2,4,9.8,4,6,0,85.6,386.2,94.0,76,93,17
Damiere Byrd,ARI,2019,26,WR,11,3,46,32,359,1,16,209,6.5,150,4.7,10.0,3,10.7,1,2,1,90.8,748.0,71.9,90,178,88
Demarcus Robinson,KAN,2019,25,WR,16,10,55,32,449,4,19,338,10.6,111,3.5,13.2,4,8.0,1,2,2,93.7,286.7,100.9,69,73,4
Olabisi Johnson,MIN,2019,22,WR,16,6,45,31,294,3,17,226,7.3,68,2.2,9.6,0,,0,0,0,108.9,999.0,79.0,86,188,102
Kendrick Bourne,SFO,2019,24,WR,16,0,44,30,358,5,23,236,7.9,122,4.1,8.3,2,15.0,3,7,1,121.2,402.0,97.8,72,99,27
DaeSean Hamilton,DEN,2019,24,WR,16,2,52,28,297,1,19,169,6.0,128,4.6,8.1,2,14.0,4,8,0,77.2,230.6,63.7,95,69,-26
Greg Ward,PHI,2019,24,WR,7,3,40,28,254,1,18,160,5.7,94,3.4,6.7,1,28.0,0,0,0,95.2,999.0,59.9,100,189,89
Isaiah McKenzie,BUF,2019,24,WR,15,8,39,27,254,1,12,48,1.8,206,7.6,4.3,1,27.0,2,5,0,95.5,468.5,63.3,96,118,22
Jakobi Meyers,NWE,2019,23,WR,15,1,41,26,359,0,17,245,9.4,114,4.4,10.3,3,8.7,2,5,0,91.4,443.3,61.9,97,109,12
Marquez Valdes-Scantling,GNB,2019,25,WR,16,10,56,26,452,2,14,301,11.6,151,5.8,16.9,0,,3,5,1,78.9,115.0,84.1,83,42,-41
Keelan Cole,JAX,2019,26,WR,16,1,35,24,361,3,19,262,10.9,99,4.1,10.7,0,,1,3,1,118.9,606.0,78.7,87,156,69
Isaiah Ford,MIA,2019,23,WR,8,0,35,23,244,0,16,158,6.9,86,3.7,7.6,4,5.8,1,3,2,62.1,733.0,48.5,111,176,65
