"rank","player_name","year","position","points","preseason_rank","postseason_rank","accuracy_score","yearly_ac","total_accuracy_score"
257,AJ Brown,2019,WR,217.1,164,38,0,10,94
42,AJ Brown,2020,WR,247.5,40,21,0,8,94
24,AJ Brown,2021,WR,180.9,23,59,0,9,94
31,AJ Brown,2022,WR,299.6,29,10,0,10,94
15,AJ Brown,2023,WR,289.6,14,7,1,9,94
543,AJ Derby,2016,TE,30.0,319,257,0,10,94
410,AJ Derby,2017,TE,4.0,254,386,0,8,94
475,AJ Derby,2018,TE,13.8,283,322,0,11,94
167,AJ Dillon,2020,RB,40.3,130,261,0,8,94
101,AJ Dillon,2021,RB,185.6,85,56,0,9,94
67,AJ Dillon,2022,RB,167.6,59,67,0,10,94
16,AJ Green,2013,WR,306.6,11,6,1,10,94
12,AJ Green,2014,WR,205.3,11,35,0,11,94
17,AJ Green,2015,WR,273.7,17,8,1,8,94
6,AJ Green,2016,WR,186.4,6,54,0,10,94
8,AJ Green,2017,WR,226.8,8,22,0,8,94
20,AJ Green,2018,WR,149.4,19,76,0,11,94
69,AJ Green,2020,WR,111.3,62,129,0,8,94
194,AJ Green,2021,WR,156.8,137,80,0,9,94
244,AJ Green,2022,WR,61.6,166,197,0,10,94
258,AJ Jenkins,2013,WR,21.6,146,217,0,10,94
159,AJ Jenkins,2014,WR,18.1,109,242,0,11,94
521,AT Perry,2023,WR,60.6,282,193,0,9,94
473,Aaron Burbridge,2016,WR,15.8,296,312,0,10,94
180,Aaron Dobson,2013,WR,112.9,111,98,0,10,94
145,Aaron Dobson,2014,WR,6.8,103,294,0,11,94
373,Aaron Dobson,2015,WR,27.1,201,234,0,8,94
284,Aaron Jones,2017,RB,80.0,193,150,0,8,94
112,Aaron Jones,2018,RB,171.4,91,59,0,11,94
32,Aaron Jones,2019,RB,314.8,31,3,0,10,94
19,Aaron Jones,2020,RB,258.9,19,16,1,8,94
8,Aaron Jones,2021,RB,229.0,8,33,0,9,94
17,Aaron Jones,2022,RB,248.6,17,18,1,10,94
37,Aaron Jones,2023,RB,134.9,32,101,0,9,94
374,Ace Sanders,2013,WR,110.64,200,99,0,10,94
159,Ace Sanders,2014,WR,11.5,110,266,0,11,94
462,Adam Humphries,2015,WR,59.0,239,168,0,8,94
384,Adam Humphries,2016,WR,133.0,242,102,0,10,94
358,Adam Humphries,2017,WR,128.7,226,96,0,8,94
339,Adam Humphries,2018,WR,188.7,222,46,0,11,94
192,Adam Humphries,2019,WR,86.5,131,151,0,10,94
386,Adam Humphries,2020,WR,57.8,236,221,0,8,94
384,Adam Humphries,2021,WR,79.3,231,176,0,9,94
381,Adam Shaheen,2017,TE,42.7,233,229,0,8,94
329,Adam Shaheen,2018,TE,17.8,214,303,0,11,94
474,Adam Shaheen,2019,TE,18.4,262,299,0,10,94
583,Adam Shaheen,2020,TE,45.0,327,245,0,8,94
489,Adam Shaheen,2021,TE,23.0,290,311,0,9,94
159,Adam Thielen,2014,WR,33.7,111,204,0,11,94
462,Adam Thielen,2015,WR,35.3,240,210,0,8,94
421,Adam Thielen,2016,WR,197.2,267,41,0,10,94
97,Adam Thielen,2017,WR,239.7,81,16,0,8,94
31,Adam Thielen,2018,WR,307.3,29,12,0,11,94
23,Adam Thielen,2019,WR,114.4,22,111,0,10,94
32,Adam Thielen,2020,WR,254.0,30,17,0,8,94
50,Adam Thielen,2021,WR,199.8,46,48,0,9,94
71,Adam Thielen,2022,WR,180.0,62,55,0,10,94
134,Adam Thielen,2023,WR,231.0,100,30,0,9,94
427,Adam Trautman,2020,TE,38.1,256,264,0,8,94
218,Adam Trautman,2021,TE,63.3,150,209,0,9,94
354,Adam Trautman,2022,TE,44.7,215,237,0,10,94
441,Adam Trautman,2023,TE,60.4,241,194,0,9,94
392,Adrian Killins,2020,RB,0.0,238,454,0,8,94
1,Adrian Peterson,2013,RB,232.7,1,26,0,10,94
3,Adrian Peterson,2014,RB,11.3,3,269,0,11,94
2,Adrian Peterson,2015,RB,260.7,2,12,1,8,94
10,Adrian Peterson,2016,RB,9.0,11,346,0,10,94
71,Adrian Peterson,2017,RB,68.4,62,174,0,8,94
117,Adrian Peterson,2018,RB,189.0,94,45,0,11,94
139,Adrian Peterson,2019,RB,147.0,106,82,0,10,94
166,Adrian Peterson,2020,RB,124.5,129,119,0,8,94
367,Adrian Peterson,2021,RB,7.6,221,392,0,9,94
159,Adrien Robinson,2014,TE,16.0,112,253,0,11,94
68,Ahmad Bradshaw,2013,RB,41.8,52,187,0,10,94
125,Ahmad Bradshaw,2014,RB,154.5,91,69,0,11,94
317,Ahmad Bradshaw,2015,RB,42.9,172,190,0,8,94
543,Akeem Hunt,2016,RB,16.8,320,308,0,10,94
410,Akeem Hunt,2017,RB,9.4,255,345,0,8,94
410,Alan Cross,2017,TE,10.8,256,341,0,8,94
489,Alan Cross,2018,TE,2.9,291,397,0,11,94
403,Albert Okwuegbunam,2020,TE,29.1,242,293,0,8,94
439,Albert Okwuegbunam,2021,TE,76.0,263,185,0,9,94
166,Albert Okwuegbunam,2022,TE,25.5,122,297,0,10,94
362,Albert Okwuegbunam,2023,TE,0.0,215,432,0,9,94
159,Albert Wilson,2014,WR,42.0,113,193,0,11,94
459,Albert Wilson,2015,WR,94.7,236,123,0,8,94
395,Albert Wilson,2016,WR,81.9,249,162,0,10,94
409,Albert Wilson,2017,WR,116.0,253,111,0,8,94
269,Albert Wilson,2018,WR,96.78,180,136,0,11,94
208,Albert Wilson,2019,WR,89.4,141,149,0,10,94
420,Albert Wilson,2021,WR,48.0,254,253,0,9,94
386,Aldrick Robinson,2013,WR,66.1,206,156,0,10,94
159,Aldrick Robinson,2014,WR,1.6,114,328,0,11,94
543,Aldrick Robinson,2016,WR,64.3,321,183,0,10,94
410,Aldrick Robinson,2017,WR,57.0,257,199,0,8,94
489,Aldrick Robinson,2018,WR,70.1,292,180,0,11,94
223,Alec Pierce,2022,WR,112.3,152,124,0,10,94
238,Alec Pierce,2023,WR,95.4,160,144,0,9,94
489,Alex Armah,2018,RB,15.0,293,317,0,11,94
802,Alex Armah,2019,RB,9.7,360,336,0,10,94
583,Alex Armah,2020,RB,7.7,328,388,0,8,94
594,Alex Armah,2023,RB,4.3,312,392,0,9,94
489,Alex Bachman,2021,WR,-0.3,291,496,0,9,94
292,Alex Collins,2016,RB,35.9,204,237,0,10,94
410,Alex Collins,2017,RB,171.0,258,53,0,8,94
37,Alex Collins,2018,RB,108.6,35,119,0,11,94
583,Alex Collins,2020,RB,21.1,329,324,0,8,94
336,Alex Collins,2021,RB,68.8,209,197,0,9,94
543,Alex Ellis,2016,TE,4.1,322,378,0,10,94
543,Alex Erickson,2016,WR,13.1,323,328,0,10,94
299,Alex Erickson,2017,WR,37.6,205,244,0,8,94
271,Alex Erickson,2018,WR,38.9,182,248,0,11,94
540,Alex Erickson,2019,WR,100.24,281,133,0,10,94
583,Alex Erickson,2020,WR,24.6,330,305,0,8,94
489,Alex Erickson,2021,WR,8.5,292,385,0,9,94
594,Alex Erickson,2023,WR,45.2,313,224,0,9,94
470,Alex Green,2013,RB,6.3,233,287,0,10,94
481,Alex Smith,2013,TE,10.2,237,262,0,10,94
462,Alex Smith,2015,TE,0.0,241,367,0,8,94
1047,Alexander Hollins,2019,WR,6.6,401,356,0,10,94
168,Alexander Mattison,2019,RB,68.4,122,177,0,10,94
118,Alexander Mattison,2020,RB,86.9,101,166,0,8,94
151,Alexander Mattison,2021,RB,125.9,116,113,0,9,94
130,Alexander Mattison,2022,RB,88.4,101,153,0,10,94
60,Alexander Mattison,2023,RB,133.2,51,103,0,9,94
159,Alfonso Smith,2014,RB,6.0,115,298,0,11,94
284,Alfred Blue,2016,RB,62.0,199,185,0,10,94
389,Alfred Blue,2017,RB,44.6,238,223,0,8,94
321,Alfred Blue,2018,RB,97.3,210,135,0,11,94
11,Alfred Morris,2013,RB,178.3,8,52,0,10,94
35,Alfred Morris,2014,RB,187.9,28,45,0,11,94
36,Alfred Morris,2015,RB,96.6,29,121,0,8,94
143,Alfred Morris,2016,RB,40.4,116,222,0,10,94
265,Alfred Morris,2017,RB,72.2,181,167,0,8,94
141,Alfred Morris,2018,RB,68.1,109,182,0,11,94
295,Alfred Morris,2019,RB,0.4,187,426,0,10,94
583,Alfred Morris,2020,RB,40.7,331,259,0,8,94
159,Allen Hurns,2014,WR,154.7,116,68,0,11,94
185,Allen Hurns,2015,WR,225.1,123,25,0,8,94
69,Allen Hurns,2016,WR,100.7,59,133,0,10,94
210,Allen Hurns,2017,WR,99.4,151,127,0,8,94
116,Allen Hurns,2018,WR,61.5,93,193,0,11,94
1036,Allen Hurns,2019,WR,83.6,397,160,0,10,94
489,Allen Lazard,2018,WR,1.7,294,410,0,11,94
645,Allen Lazard,2019,WR,102.8,312,125,0,10,94
160,Allen Lazard,2020,WR,97.8,123,149,0,8,94
235,Allen Lazard,2021,WR,142.5,161,95,0,9,94
103,Allen Lazard,2022,WR,174.8,88,62,0,10,94
141,Allen Lazard,2023,WR,60.1,103,197,0,9,94
481,Allen Reisner,2013,TE,9.0,238,269,0,10,94
159,Allen Robinson,2014,WR,116.8,117,94,0,11,94
62,Allen Robinson,2015,WR,304.0,46,6,0,8,94
9,Allen Robinson,2016,WR,199.3,10,37,0,10,94
46,Allen Robinson,2017,WR,2.7,39,395,0,8,94
49,Allen Robinson,2018,WR,153.3,45,69,0,11,94
70,Allen Robinson,2019,WR,254.9,63,16,0,10,94
30,Allen Robinson,2020,WR,262.9,28,15,0,8,94
31,Allen Robinson,2021,WR,87.0,29,158,0,9,94
60,Allen Robinson,2022,WR,84.9,52,162,0,10,94
313,Allen Robinson,2023,WR,62.0,193,187,0,9,94
462,Alonzo Harris,2015,RB,1.9,242,340,0,8,94
119,Alshon Jeffery,2013,WR,283.6,79,12,0,10,94
22,Alshon Jeffery,2014,WR,261.6,20,16,1,11,94
24,Alshon Jeffery,2015,WR,158.7,21,66,0,8,94
20,Alshon Jeffery,2016,WR,146.1,20,89,0,10,94
37,Alshon Jeffery,2017,WR,195.9,33,38,0,8,94
71,Alshon Jeffery,2018,WR,185.3,62,48,0,11,94
65,Alshon Jeffery,2019,WR,122.2,58,104,0,10,94
200,Alshon Jeffery,2020,WR,23.5,142,308,0,8,94
142,Alvin Kamara,2017,RB,320.4,115,3,0,8,94
6,Alvin Kamara,2018,RB,354.2,5,4,1,11,94
3,Alvin Kamara,2019,RB,248.52,3,18,1,10,94
6,Alvin Kamara,2020,RB,377.8,6,1,1,8,94
3,Alvin Kamara,2021,RB,234.7,3,28,0,9,94
13,Alvin Kamara,2022,RB,211.7,13,38,0,10,94
58,Alvin Kamara,2023,RB,233.0,49,27,0,9,94
410,Amara Darboh,2017,WR,15.1,259,316,0,8,94
34,Amari Cooper,2018,WR,158.6,32,68,0,11,94
30,Amari Cooper,2019,WR,246.5,29,20,0,10,94
35,Amari Cooper,2020,WR,236.8,33,24,0,8,94
41,Amari Cooper,2021,WR,202.5,38,47,0,9,94
68,Amari Cooper,2022,WR,246.0,60,19,0,10,94
40,Amari Cooper,2023,WR,227.0,35,34,0,9,94
254,Amari Rodgers,2021,WR,9.6,171,378,0,9,94
354,Amari Rodgers,2022,WR,34.1,216,265,0,10,94
478,Amari Rodgers,2023,WR,0.0,262,433,0,9,94
44,Ameer Abdullah,2015,RB,117.0,34,100,0,8,94
84,Ameer Abdullah,2016,RB,26.8,70,271,0,10,94
65,Ameer Abdullah,2017,RB,124.4,56,101,0,8,94
273,Ameer Abdullah,2018,RB,2.0,184,405,0,11,94
404,Ameer Abdullah,2019,RB,41.3,230,230,0,10,94
494,Ameer Abdullah,2020,RB,30.0,286,285,0,8,94
397,Ameer Abdullah,2021,RB,81.8,239,172,0,9,94
261,Ameer Abdullah,2022,RB,54.1,177,215,0,10,94
594,Ameer Abdullah,2023,RB,41.0,314,234,0,9,94
211,Amon-Ra St Brown,2021,WR,227.3,146,34,0,9,94
61,Amon-Ra St Brown,2022,WR,267.6,53,13,0,10,94
20,Amon-Ra St Brown,2023,WR,330.9,19,4,1,9,94
354,Andre Baccellia,2022,WR,11.5,217,354,0,10,94
121,Andre Brown,2013,RB,93.5,80,120,0,10,94
481,Andre Caldwell,2013,WR,54.7,239,171,0,10,94
159,Andre Caldwell,2014,WR,9.7,118,278,0,11,94
462,Andre Caldwell,2015,WR,29.5,243,226,0,8,94
251,Andre Ellington,2016,RB,30.1,174,256,0,10,94
410,Andre Ellington,2017,RB,13.4,260,326,0,8,94
391,Andre Holmes,2017,WR,43.0,240,228,0,8,94
489,Andre Holmes,2018,WR,1.5,295,416,0,11,94
39,Andre Johnson,2015,WR,115.3,31,103,0,8,94
