"name","position","team","season","carries","rushing_yards","rushing_tds","rushing_fumbles","rushing_fumbles_lost","rushing_first_downs","rushing_2pt_conversions","receptions","targets","receiving_yards","receiving_tds","receiving_fumbles","receiving_fumbles_lost","receiving_air_yards","receiving_yards_after_catch","receiving_first_downs","receiving_2pt_conversions","target_share","air_yards_share","fantasy_points_ppr","total_yards","games","offense_snaps","teams_offense_snaps","ypa","ypc","ypr","touches","rush_td_percentage","rec_td_percentage","total_tds","td_percentage","offense_pct","rush_ypg","rec_ypg","ppr_ppg","yps","ypg","years_played","ppr_fp_ps"
A.J. Brown,WR,TEN,2019,3,60.0,1,0.0,0.0,2.0,0,52,84,1051.0,8,1.0,0.0,1107.0,465.0,39.0,0,0.2,0.29,217.1,1111.0,16,678.0,997.0,0.0,20.0,20.21,55,0.33,0.15,9,0.16,0.68,3.75,65.69,13.57,"1.64",69.44,1,"0.32"
A.J. Brown,WR,TEN,2020,0,0.0,0,0.0,0.0,0.0,0,70,106,1075.0,11,2.0,1.0,1150.0,432.0,55.0,0,0.27,0.35,247.5,1075.0,14,760.0,945.0,0.0,0.0,15.36,70,0.0,0.16,11,0.16,0.8,0.0,76.79,17.68,"1.41",76.79,2,"0.33"
A.J. Brown,WR,TEN,2021,2,10.0,0,0.0,0.0,1.0,0,63,105,869.0,5,0.0,0.0,1218.0,235.0,45.0,0,0.28,0.45,180.9,879.0,13,604.0,876.0,0.0,5.0,13.79,67,0.0,0.08,5,0.07,0.69,0.77,66.85,13.92,"1.46",67.62,3,"0.3"
A.J. Brown,WR,PHI,2022,0,0.0,0,0.0,0.0,0.0,0,88,145,1496.0,11,2.0,2.0,1750.0,552.0,59.0,0,0.29,0.41,299.6,1496.0,17,1004.0,1189.0,0.0,0.0,17.0,88,0.0,0.12,11,0.12,0.84,0.0,88.0,17.62,"1.49",88.0,4,"0.3"
A.J. Brown,WR,PHI,2023,0,0.0,0,0.0,0.0,0.0,0,106,158,1456.0,7,2.0,2.0,1853.0,473.0,70.0,0,0.3,0.42,289.6,1456.0,17,1019.0,1154.0,0.0,0.0,13.74,106,0.0,0.07,7,0.07,0.88,0.0,85.65,17.04,"1.43",85.65,5,"0.28"
A.J. Derby,TE,DEN,2016,0,0.0,0,0.0,0.0,0.0,0,16,20,160.0,0,1.0,1.0,135.0,50.0,7.0,0,0.09,0.06,30.0,160.0,6,188.0,401.0,0.0,0.0,10.0,16,0.0,0.0,0,0.0,0.47,0.0,26.67,5.0,"0.85",26.67,2,"0.16"
A.J. Derby,TE,MIA,2017,0,0.0,0,0.0,0.0,0.0,0,2,9,20.0,0,0.0,0.0,94.0,18.0,1.0,0,0.12,0.14,4.0,20.0,2,51.0,128.0,0.0,0.0,10.0,2,0.0,0.0,0,0.0,0.4,0.0,10.0,2.0,"0.39",10.0,3,"0.08"
A.J. Derby,TE,MIA,2018,0,0.0,0,0.0,0.0,0.0,0,3,5,48.0,1,0.0,0.0,44.0,9.0,3.0,0,0.06,0.09,13.8,48.0,3,78.0,173.0,0.0,0.0,16.0,3,0.0,0.33,1,0.33,0.45,0.0,16.0,4.6,"0.62",16.0,4,"0.18"
A.J. Green,WR,CIN,2013,0,0.0,0,0.0,0.0,0.0,0,98,178,1426.0,11,1.0,0.0,2256.0,393.0,65.0,0,0.3,0.47,306.6,1426.0,16,1056.0,1142.0,0.0,0.0,14.55,98,0.0,0.11,11,0.11,0.92,0.0,89.12,19.16,"1.35",89.12,3,"0.29"
A.J. Green,WR,CIN,2014,2,2.0,0,1.0,0.0,0.0,0,69,116,1041.0,6,2.0,2.0,1548.0,314.0,46.0,0,0.32,0.52,205.3,1043.0,12,644.0,793.0,0.0,1.0,15.09,71,0.0,0.09,6,0.08,0.81,0.17,86.75,17.11,"1.62",86.92,4,"0.32"
A.J. Green,WR,CIN,2015,0,0.0,0,0.0,0.0,0.0,0,86,132,1297.0,10,1.0,1.0,1686.0,341.0,63.0,0,0.26,0.38,273.7,1297.0,16,931.0,1068.0,0.0,0.0,15.08,86,0.0,0.12,10,0.12,0.87,0.0,81.06,17.11,"1.39",81.06,5,"0.29"
A.J. Green,WR,CIN,2016,0,0.0,0,0.0,0.0,0.0,0,66,100,964.0,4,0.0,0.0,1236.0,258.0,41.0,0,0.3,0.41,186.4,964.0,10,555.0,688.0,0.0,0.0,14.61,66,0.0,0.06,4,0.06,0.81,0.0,96.4,18.64,"1.74",96.4,6,"0.34"
A.J. Green,WR,CIN,2017,0,0.0,0,0.0,0.0,0.0,0,75,143,1078.0,8,2.0,2.0,1873.0,297.0,55.0,0,0.29,0.46,226.8,1078.0,16,852.0,969.0,0.0,0.0,14.37,75,0.0,0.11,8,0.11,0.88,0.0,67.38,14.18,"1.27",67.38,7,"0.27"
A.J. Green,WR,CIN,2018,0,0.0,0,0.0,0.0,0.0,0,46,77,694.0,6,2.0,1.0,958.0,163.0,37.0,0,0.24,0.4,149.4,694.0,9,458.0,583.0,0.0,0.0,15.09,46,0.0,0.13,6,0.13,0.79,0.0,77.11,16.6,"1.52",77.11,8,"0.33"
A.J. Green,WR,CIN,2020,0,0.0,0,0.0,0.0,0.0,0,47,104,523.0,2,0.0,0.0,1427.0,86.0,34.0,0,0.18,0.3,111.3,523.0,16,820.0,1083.0,0.0,0.0,11.13,47,0.0,0.04,2,0.04,0.76,0.0,32.69,6.96,"0.64",32.69,10,"0.14"
A.J. Green,WR,ARI,2021,0,0.0,0,0.0,0.0,0.0,0,54,92,848.0,3,0.0,0.0,1109.0,181.0,37.0,0,0.17,0.27,156.8,848.0,16,887.0,1108.0,0.0,0.0,15.7,54,0.0,0.06,3,0.06,0.8,0.0,53.0,9.8,"0.96",53.0,11,"0.18"
A.J. Green,WR,ARI,2022,0,0.0,0,0.0,0.0,0.0,0,24,47,236.0,2,0.0,0.0,515.0,56.0,11.0,1,0.1,0.16,61.6,236.0,13,533.0,933.0,0.0,0.0,9.83,24,0.0,0.08,2,0.08,0.57,0.0,18.15,4.74,"0.44",18.15,12,"0.12"
A.J. Jenkins,WR,KC,2013,2,6.0,0,0.0,0.0,0.0,0,8,17,130.0,0,0.0,0.0,200.0,44.0,4.0,0,0.07,0.14,21.6,136.0,7,152.0,486.0,0.0,3.0,16.25,10,0.0,0.0,0,0.0,0.31,0.86,18.57,3.09,"0.89",19.43,2,"0.14"
A.J. Jenkins,WR,KC,2014,2,-2.0,0,1.0,0.0,0.0,0,9,15,93.0,0,0.0,0.0,131.0,43.0,5.0,0,0.07,0.1,18.1,91.0,7,201.0,472.0,0.0,-1.0,10.33,11,0.0,0.0,0,0.0,0.43,-0.29,13.29,2.59,"0.45",13.0,3,"0.09"
